CMOS Winnowing Report
Submissions analyzed: 54
k-mer length: 12 digits
window size: 5 hashes

 1. bills_03.c vs bills_09.c | similarity=1.0000 | shared=98 | total=98
 2. bills_03.c vs bills_53.c | similarity=1.0000 | shared=98 | total=98
 3. bills_03.c vs bills_54.c | similarity=1.0000 | shared=98 | total=98
 4. bills_09.c vs bills_53.c | similarity=1.0000 | shared=98 | total=98
 5. bills_09.c vs bills_54.c | similarity=1.0000 | shared=98 | total=98
 6. bills_53.c vs bills_54.c | similarity=1.0000 | shared=98 | total=98
 7. bills_21.c vs bills_38.c | similarity=0.9612 | shared=99 | total=103
 8. bills_10.c vs bills_30.c | similarity=0.9569 | shared=111 | total=116
 9. bills_35.c vs bills_39.c | similarity=0.9508 | shared=116 | total=122
10. bills_26.c vs bills_37.c | similarity=0.9495 | shared=94 | total=99
11. bills_47.c vs bills_49.c | similarity=0.9029 | shared=93 | total=103
12. bills_03.c vs bills_32.c | similarity=0.9020 | shared=92 | total=102
13. bills_09.c vs bills_32.c | similarity=0.9020 | shared=92 | total=102
14. bills_32.c vs bills_53.c | similarity=0.9020 | shared=92 | total=102
15. bills_32.c vs bills_54.c | similarity=0.9020 | shared=92 | total=102
16. bills_07.c vs bills_08.c | similarity=0.9000 | shared=90 | total=100
17. bills_21.c vs bills_43.c | similarity=0.8942 | shared=93 | total=104
18. bills_47.c vs bills_48.c | similarity=0.8824 | shared=90 | total=102
19. bills_15.c vs bills_22.c | similarity=0.8776 | shared=86 | total=98
20. bills_06.c vs bills_28.c | similarity=0.8750 | shared=98 | total=112
21. bills_15.c vs bills_47.c | similarity=0.8713 | shared=88 | total=101
22. bills_15.c vs bills_49.c | similarity=0.8713 | shared=88 | total=101
23. bills_16.c vs bills_47.c | similarity=0.8679 | shared=92 | total=106
24. bills_16.c vs bills_49.c | similarity=0.8679 | shared=92 | total=106
25. bills_05.c vs bills_42.c | similarity=0.8667 | shared=104 | total=120
26. bills_07.c vs bills_15.c | similarity=0.8614 | shared=87 | total=101
27. bills_38.c vs bills_43.c | similarity=0.8611 | shared=93 | total=108
28. bills_22.c vs bills_28.c | similarity=0.8598 | shared=92 | total=107
29. bills_05.c vs bills_18.c | similarity=0.8595 | shared=104 | total=121
30. bills_08.c vs bills_15.c | similarity=0.8586 | shared=85 | total=99
31. bills_06.c vs bills_22.c | similarity=0.8585 | shared=91 | total=106
32. bills_29.c vs bills_48.c | similarity=0.8462 | shared=88 | total=104
33. bills_07.c vs bills_49.c | similarity=0.8396 | shared=89 | total=106
34. bills_06.c vs bills_29.c | similarity=0.8364 | shared=92 | total=110
35. bills_06.c vs bills_47.c | similarity=0.8364 | shared=92 | total=110
36. bills_06.c vs bills_49.c | similarity=0.8364 | shared=92 | total=110
37. bills_29.c vs bills_47.c | similarity=0.8318 | shared=89 | total=107
38. bills_48.c vs bills_49.c | similarity=0.8286 | shared=87 | total=105
